PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Deck,Family_Size,FamilyGroup,NumericFamilySize,TicketPrefix,PassengerStatus,DetailedPassengerStatus,GroupSize,AgeGroup,TitleEncoded,IsAlone,FamilyName,EmbarkedCategory,Pclass_Fare,Title_AgeGroup,Age*Class,Fare_Per_Person
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,,S,Mr,Unknown,2,Small,1,A/5,Employee,Migrant,1,Adult,Mr,0,Braund,Southampton,21.75,Mr_Adult,66.0,7.25
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C,Mrs,C,2,Small,1,PC,Middle,Middle-Class Passenger,1,Adult,Mrs,0,Cumings,Cherbourg,71.2833,Mrs_Adult,38.0,71.2833
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,,S,Miss,Unknown,1,Solo,0,STON/O2.,Low,Migrant,1,Adult,Miss,1,Heikkinen,Southampton,23.775,Miss_Adult,78.0,7.925
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,Mrs,C,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mrs,0,Futrelle,Southampton,53.1,Mrs_Adult,35.0,26.55
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Allen,Southampton,24.150000000000002,Mr_Adult,105.0,8.05
6,0,3,"Moran, Mr. James",male,,0,0,330877,8.4583,,Q,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Moran,Queenstown,25.374899999999997,Mr_Unknown,,8.4583
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,Mr,E,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,McCarthy,Southampton,51.8625,Mr_Adult,54.0,51.8625
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,,S,Master,Unknown,5,Large,2,None,Low,Low-Class Passenger,4,Child,Master,0,Palsson,Southampton,63.224999999999994,Master_Child,6.0,5.26875
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S,Mrs,Unknown,3,Small,1,None,Low,Low-Class Passenger,3,Adult,Mrs,0,Johnson,Southampton,33.3999,Mrs_Adult,81.0,3.7111
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C,Mrs,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,2,Teen,Mrs,0,Nasser,Cherbourg,60.1416,Mrs_Teen,28.0,15.0354
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S,Miss,G,3,Small,1,PP,Low,Low-Class Passenger,2,Child,Miss,0,Sandstrom,Southampton,50.099999999999994,Miss_Child,12.0,8.35
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S,Miss,C,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Miss,1,Bonnell,Southampton,26.55,Miss_Adult,58.0,26.55
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,,S,Mr,Unknown,1,Solo,0,A/5.,Low,Migrant,1,Adult,Mr,1,Saundercock,Southampton,24.150000000000002,Mr_Adult,60.0,8.05
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,,S,Mr,Unknown,7,Large,2,None,Low,Low-Class Passenger,7,Adult,Mr,0,Andersson,Southampton,93.82499999999999,Mr_Adult,117.0,4.4678571428571425
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,,S,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Teen,Miss,1,Vestrom,Southampton,23.5626,Miss_Teen,42.0,7.8542
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,,S,Mrs,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mrs,1,Hewlett,Southampton,32.0,Mrs_Adult,110.0,16.0
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,,Q,Master,Unknown,6,Large,2,None,Low,Low-Class Passenger,5,Child,Master,0,Rice,Queenstown,87.375,Master_Child,6.0,5.825
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Unknown,Mr,1,Williams,Southampton,26.0,Mr_Unknown,,13.0
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,,S,Mrs,Unknown,2,Small,1,None,Low,Low-Class Passenger,1,Adult,Mrs,0,Vander Planke,Southampton,54.0,Mrs_Adult,93.0,18.0
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,Mrs,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mrs,1,Masselmani,Cherbourg,21.674999999999997,Mrs_Unknown,,7.225
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,2,Adult,Mr,1,Fynney,Southampton,52.0,Mr_Adult,70.0,13.0
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S,Mr,D,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Beesley,Southampton,26.0,Mr_Adult,68.0,13.0
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Teen,Miss,1,McGowan,Queenstown,24.0876,Miss_Teen,45.0,8.0292
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S,Mr,A,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Sloper,Southampton,35.5,Mr_Adult,28.0,35.5
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,Miss,Unknown,5,Large,2,None,Low,Low-Class Passenger,4,Child,Miss,0,Palsson,Southampton,63.224999999999994,Miss_Child,24.0,5.26875
